Date,Median,Average,Men Median,Men Average,Women Median,Women Average
2019,19.33 ,26.53 ,21.00 ,29.41 ,17.84 ,23.45 
2018,19.14 ,26.07 ,20.47 ,29.00 ,17.24 ,22.90 
2017,18.83 ,25.52 ,20.78 ,28.20 ,17.20 ,22.64 
2016,18.67 ,25.34 ,20.48 ,28.12 ,16.99 ,22.35 
2015,18.34 ,24.84 ,20.26 ,27.54 ,16.66 ,21.94 
2014,18.04 ,23.91 ,19.59 ,26.28 ,16.28 ,21.36 
2013,18.03 ,24.06 ,19.78 ,26.64 ,16.48 ,21.30 
2012,17.94 ,23.95 ,19.98 ,26.61 ,16.61 ,21.11 
2011,18.17 ,23.82 ,19.89 ,26.20 ,16.89 ,21.26 
2010,18.63 ,24.32 ,20.39 ,26.96 ,17.01 ,21.56 
2009,18.75 ,24.38 ,20.88 ,27.22 ,17.10 ,21.42 
2008,18.34 ,23.77 ,20.31 ,26.40 ,16.71 ,20.95 
2007,18.48 ,23.68 ,20.33 ,26.27 ,16.55 ,20.89 
2006,18.45 ,23.42 ,20.24 ,25.91 ,16.50 ,20.71 
2005,18.38 ,23.32 ,19.97 ,25.84 ,16.39 ,20.60 
2004,18.66 ,23.48 ,20.43 ,26.17 ,16.49 ,20.58 
2003,18.45 ,23.46 ,20.80 ,26.08 ,16.71 ,20.66 
2002,18.44 ,23.41 ,20.73 ,26.12 ,16.55 ,20.48 
2001,18.16 ,23.00 ,20.44 ,25.71 ,16.07 ,20.05 
2000,17.89 ,22.58 ,20.30 ,25.34 ,15.75 ,19.57 
1999,17.78 ,22.31 ,20.07 ,25.07 ,15.51 ,19.30 
1998,17.35 ,21.79 ,19.62 ,24.37 ,15.58 ,18.97 
1997,16.74 ,21.11 ,19.11 ,23.61 ,14.96 ,18.37 
1996,16.41 ,20.73 ,18.80 ,23.18 ,14.68 ,18.04 
1995,16.68 ,20.73 ,18.91 ,23.25 ,14.68 ,17.94 
1994,16.92 ,20.81 ,18.81 ,23.24 ,14.71 ,18.14 
1993,17.11 ,20.47 ,19.05 ,22.91 ,14.82 ,17.78 
1992,16.85 ,20.36 ,19.01 ,22.89 ,14.56 ,17.57 
1991,16.68 ,20.34 ,19.00 ,23.02 ,14.59 ,17.35 
1990,16.82 ,20.25 ,19.16 ,23.08 ,14.37 ,17.07 
1989,16.84 ,20.31 ,19.92 ,23.29 ,14.40 ,16.95 
1988,16.88 ,20.85 ,20.63 ,24.30 ,14.50 ,16.93 
1987,17.11 ,20.69 ,20.57 ,24.16 ,14.20 ,16.72 
1986,16.92 ,20.57 ,20.50 ,24.08 ,14.02 ,16.51 
1985,16.81 ,20.08 ,20.29 ,23.48 ,13.78 ,16.10 
1984,16.55 ,19.87 ,20.20 ,23.27 ,13.69 ,15.84 
1983,16.47 ,19.80 ,20.06 ,23.27 ,13.45 ,15.70 
1982,16.43 ,19.76 ,20.44 ,23.24 ,13.21 ,15.59 
1981,16.50 ,19.59 ,20.43 ,23.05 ,13.36 ,15.33 
1980,16.68 ,19.70 ,20.87 ,23.19 ,13.29 ,15.33 
1979,16.79 ,20.10 ,21.07 ,23.66 ,13.35 ,15.49 
1978,17.07 ,19.92 ,21.20 ,23.47 ,13.25 ,15.29 
1977,16.92 ,19.88 ,20.90 ,23.36 ,13.20 ,15.24 
1976,16.90 ,19.99 ,20.70 ,23.35 ,13.30 ,15.42 
1975,16.94 ,19.77 ,21.04 ,23.12 ,13.18 ,15.06 
1974,16.93 ,19.72 ,20.71 ,23.13 ,13.00 ,14.86 
1973,17.27 ,20.09 ,20.97 ,23.55 ,13.19 ,15.13 
