Market Year,Years after 1960,Barley,Corn,Millet,Oats,"Rice, Milled",Rye,Sorghum,Wheat,Total
1960/1961,0,79181,194308,23079,54640,156142,35589,37829,228550,809318
1961/1962,1,76392,208772,23137,49490,149497,34633,38091,232231,812243
1962/1963,2,85159,214777,23894,47450,149999,31998,40403,237725,831405
1963/1964,3,86770,212953,23823,44740,165035,31044,43990,234282,842637
1964/1965,4,90536,222704,27330,44281,179101,31008,43601,250976,889537
1965/1966,5,97183,232205,23694,43958,171610,31353,50012,276081,926096
1966/1967,6,100876,243112,24889,47297,178207,31209,52184,272970,950744
1967/1968,7,102876,252841,28328,48472,185706,30997,51740,280645,981605
1968/1969,8,111223,256646,25335,48473,191177,30510,52201,298359,1013924
1969/1970,9,116845,269671,25908,50194,198164,28992,55437,317390,1062601
1970/1971,10,124090,269238,33122,51366,209877,27000,58482,328874,1102049
1971/1972,11,128681,292693,29166,53403,215920,30617,57269,335674,1143423
1972/1973,12,133435,309749,24961,51414,212976,27901,54053,352619,1167108
1973/1974,13,146574,326954,32264,51474,222581,28274,63797,351582,1223500
1974/1975,14,148459,290799,29101,47815,226505,29902,58293,353328,1184202
1975/1976,15,138652,329488,27809,44770,232285,24075,61901,346796,1205776
1976/1977,16,162531,337627,28211,45993,234714,27568,61358,369481,1267483
1977/1978,17,158241,353844,27748,45907,244050,24182,60949,398984,1313905
1978/1979,18,169566,377102,29891,48483,252126,28399,64474,405214,1375255
1979/1980,19,160935,408831,27251,44195,256156,21444,63485,428576,1410873
1980/1981,20,157607,411826,27535,42507,270190,24396,57853,443448,1435362
1981/1982,21,151633,421225,28602,40346,278521,24124,66679,441671,1452801
1982/1983,22,155831,424336,28258,44478,277865,26761,63885,447737,1469151
1983/1984,23,163261,406707,31074,44312,292660,30947,62431,464999,1496391
1984/1985,24,163116,428393,28780,45406,298297,29628,65963,484210,1543793
1985/1986,25,168233,417464,28443,47368,306781,30718,65623,482825,1547455
1986/1987,26,173069,445481,26790,45062,308072,28208,60337,508810,1595829
1987/1988,27,172760,456081,26840,40819,312050,33108,59698,531449,1632805
1988/1989,28,165183,450776,31766,35923,323346,30698,59253,516536,1613481
1989/1990,29,169805,475330,30545,37865,335459,32196,60357,526654,1668211
1990/1991,30,174413,473385,29270,38415,343812,33705,56063,549658,1698721
1991/1992,31,163715,494112,26110,34289,350806,28942,55941,551450,1705365
1992/1993,32,162223,509125,30668,34079,355452,28908,61569,545692,1727716
1993/1994,33,167402,507267,28600,33915,359156,26042,61076,547467,1730925
1994/1995,34,164015,538473,29498,33039,363742,24413,57249,543525,1753954
1995/1996,35,150560,532036,27769,30726,366462,23451,56347,543624,1730975
1996/1997,36,148575,559138,29660,30142,375701,21792,67000,563994,1796002
1997/1998,37,145396,573137,28170,29376,377493,20637,57902,575783,1807894
1998/1999,38,139648,581273,30526,26532,388170,20223,59561,577407,1823340
1999/2000,39,132325,600350,28705,24781,397657,19995,59922,580955,1844690
2000/2001,40,133838,609005,27370,25454,393663,18883,56932,583957,1849102
2001/2002,41,136295,622446,28262,26903,412096,20200,58383,587076,1891661
2002/2003,42,136582,627532,23659,25899,405661,19710,54206,602226,1895475
2003/2004,43,146031,649784,33808,25877,411396,17907,59224,581474,1925501
2004/2005,44,143721,688887,29001,25042,406457,17297,58897,605591,1974893
2005/2006,45,140363,707012,30786,23750,412480,15840,58845,616153,2005229
2006/2007,46,143315,726593,31088,22851,418669,13666,57074,618852,2032108
2007/2008,47,133878,781318,32898,24335,426900,13919,64012,614350,2091610
2008/2009,48,142605,794522,33963,23935,436083,16473,63512,636779,2147872
2009/2010,49,145860,832327,25650,23228,435466,17100,57127,651005,2187763
2010/2011,50,133921,867606,31299,20502,444073,12612,59954,654367,2224334
2011/2012,51,135613,885908,27182,21601,455277,12742,55928,691413,2285664
2012/2013,52,130687,881658,26410,21584,462103,13501,56111,688299,2280353
2013/2014,53,141427,950558,25666,22463,472216,15255,59466,691263,2378314
2014/2015,54,143316,975369,27499,22230,473117,14386,65887,700514,2422318
2015/2016,55,145251,1001596,26631,21803,467949,12520,63412,713111,2452273
2016/2017,56,149450,1062701,28990,24055,477191,12323,62393,734497,2551600
2017/2018,57,146801,1091240,28440,23843,480628,12657,58584,740594,2582787
2018/2019,58,139821,1126232,29316,23042,483836,10394,58697,732236,2603574
2019/2020,59,152899,1120788,29632,22043,488397,11902,58790,744205,2628656
2020/2021,60,153675,1157571,28754,23681,495100,12364,60056,747765,2678966
