Market Year,Years after 1960,Barley,Corn,Millet,Oats,"Rice, Milled",Rye,Sorghum,Wheat,Total
1960/1961,0,78905,199576,22539,55933,150824,35582,40812,233451,817622
1961/1962,1,74307,207786,24291,48871,147300,33867,38578,220049,795049
1962/1963,2,87141,207267,24009,48676,155105,33356,41800,246780,844134
1963/1964,3,89171,217054,23946,45809,169013,29202,43720,230387,848302
1964/1965,4,96260,215389,27145,42567,180738,31328,41619,264911,899957
1965/1966,5,92662,225485,23594,44618,172900,33775,46372,259312,898718
1966/1967,6,102537,250080,25388,46266,178987,29466,49309,300651,982684
1967/1968,7,105024,262164,28826,48122,188853,30095,53260,291948,1008292
1968/1969,8,114998,252496,25438,51455,194855,31923,51451,323774,1046390
1969/1970,9,117969,270038,29059,51918,201087,28090,54812,304021,1056994
1970/1971,10,119817,268078,32144,51640,213013,26409,55122,306531,1072754
1971/1972,11,131413,308500,28998,53799,215772,30439,57669,344119,1170709
1972/1973,12,132501,301447,24635,47623,208937,27411,54004,337486,1134044
1973/1974,13,146048,330523,33025,49764,227561,27675,65911,366069,1246576
1974/1975,14,149550,299781,28896,46693,225662,31160,60328,355226,1197296
1975/1976,15,135950,339215,28636,44615,242892,22786,63824,352647,1230565
1976/1977,16,166178,356140,28392,45794,235387,28089,62157,414348,1336485
1977/1978,17,157064,365441,27494,48375,250121,22839,64411,377844,1313589
1978/1979,18,175608,392120,30168,48518,262067,29375,63631,438942,1440429
1979/1980,19,153829,425566,26429,42545,256114,20944,61564,417542,1404533
1980/1981,20,157364,408734,27614,41461,269910,24282,59403,435867,1424635
1981/1982,21,149470,441748,28657,40204,277932,23557,70436,444995,1476999
1982/1983,22,161179,439854,28054,46189,284980,29497,65137,472739,1527629
1983/1984,23,158520,348338,31673,43537,307004,33058,58553,484451,1465134
1984/1985,24,170456,458316,28246,45812,316770,32046,65882,508908,1626436
1985/1986,25,173587,478821,27867,46999,317998,30699,70228,494802,1641001
1986/1987,26,178029,475259,26519,44541,316052,29222,64528,524043,1658193
1987/1988,27,175338,450722,25926,40641,315125,30982,56578,498674,1593986
1988/1989,28,164372,400350,31710,35427,332046,29627,54536,495264,1543332
1989/1990,29,166129,461517,30157,39272,345312,33336,55315,533110,1664148
1990/1991,30,179458,481763,29283,39326,351371,36819,53814,588798,1760632
1991/1992,31,169838,492711,26083,33025,353267,27351,53780,543437,1699492
1992/1993,32,166245,535646,31388,33877,353852,28674,65726,562668,1778076
1993/1994,33,168940,475859,27460,35395,354626,26005,55482,558555,1702322
1994/1995,34,160700,559592,29320,32921,364055,21568,57695,523121,1748972
1995/1996,35,141173,516694,27764,28614,368655,21931,55361,537498,1697690
1996/1997,36,153137,592897,29789,30666,380339,22073,69854,581286,1860041
1997/1998,37,153876,574161,28131,30998,387370,24100,57720,610176,1866532
1998/1999,38,136002,605816,30566,25727,394951,20041,60422,590470,1863995
1999/2000,39,127415,608076,28615,24080,409289,19257,59080,587450,1863262
2000/2001,40,132904,591457,27348,25825,399173,19058,55294,582787,1833846
2001/2002,41,143442,601716,28347,26967,399405,22552,59464,583871,1865764
2002/2003,42,134214,604005,23553,25327,378122,20330,54102,569667,1809320
2003/2004,43,142907,627757,34247,26050,392500,13897,60317,555689,1853364
2004/2005,44,152322,716881,29002,25279,401080,16996,58297,626747,2026604
2005/2006,45,136167,700163,30395,23402,418107,14499,59182,618828,2000743
2006/2007,46,136704,715573,31135,22461,420339,12188,56424,596688,1991512
2007/2008,47,132635,798689,33071,25144,434337,14370,66512,612228,2116986
2008/2009,48,154819,806274,33835,25332,450431,17314,63410,684784,2236199
2009/2010,49,150893,834000,25627,22970,440966,17522,55854,688180,2236012
2010/2011,50,122674,849471,31814,19340,451592,11407,61023,650662,2197983
2011/2012,51,133288,910293,26941,21953,469641,12191,56096,698705,2329108
2012/2013,52,129276,898941,26279,20766,475937,13713,54998,660399,2280309
2013/2014,53,144412,1027011,25729,23174,481334,15772,61958,716600,2495990
2014/2015,54,141649,1057777,27589,22107,482713,14469,65774,730412,2542490
2015/2016,55,149457,1015091,26322,22119,477132,12162,62503,738144,2502930
2016/2017,56,147032,1127505,29250,24390,491322,12332,63131,756313,2651275
2017/2018,57,143116,1078620,28580,23655,494705,12309,57724,763049,2601758
2018/2019,58,139301,1123344,28952,22243,496464,10010,59619,730836,2610769
2019/2020,59,156279,1113499,29972,22404,494292,12027,57629,764405,2650507
2020/2021,60,155259,1188476,28754,24807,502086,12778,59769,773434,2745363
